bakim_carpani,t,O2_lb,glc_lb,h2o_cap,durum,buyume
1.5,0.04,-0.88,-0.128,2.16,infeasible,
1.5,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
1.5,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
1.5,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
1.5,0.12,-1.64,-0.284,4.48,infeasible,
1.5,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
1.5,0.16,-2.02,-0.362,5.64,infeasible,
1.5,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
1.5,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
1.5,0.22,-2.59,-0.479,7.38,infeasible,
1.5,0.24,-2.78,-0.518,7.96,infeasible,
1.5,0.26,-2.97,-0.557,8.54,infeasible,
1.5,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
1.5,0.3,-3.35,-0.635,9.7,optimal,0.0016809125304323741
1.5,0.32,-3.54,-0.674,10.28,optimal,0.0071215674382612264
1.5,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,optimal,0.012562225413735117
1.5,0.36,-3.92,-0.752,11.44,optimal,0.016871419454036297
1.5,0.38,-4.109999999999999,-0.791,12.02,optimal,0.020343637705781525
1.5,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,optimal,0.023815855957535725
1.5,0.42,-4.49,-0.869,13.18,optimal,0.02728807420928936
1.5,0.44,-4.68,-0.908,13.76,optimal,0.03076029246104243
1.5,0.46,-4.87,-0.9470000000000001,14.34,optimal,0.03423251071279508
1.5,0.48,-5.06,-0.986,14.92,optimal,0.03770472896454928
1.5,0.5,-5.25,-1.025,15.5,optimal,0.04117694721630164
1.5,0.52,-5.44,-1.064,16.08,optimal,0.044649165468056126
1.5,0.54,-5.630000000000001,-1.103,16.66,optimal,0.04812138371980962
1.5,0.56,-5.82,-1.1420000000000001,17.240000000000002,optimal,0.05159360197156354
1.5,0.58,-6.01,-1.181,17.82,optimal,0.05506582022331732
1.5,0.6,-6.2,-1.22,18.4,optimal,0.0585380384750694
1.5,0.62,-6.39,-1.2590000000000001,18.98,optimal,0.0620102567268243
1.5,0.64,-6.58,-1.298,19.56,optimal,0.06548247497857668
1.5,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.068954693230331
1.5,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.07242691148208366
1.5,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.07589912973383688
1.5,0.72,-7.34,-1.454,21.88,optimal,0.07937134798559206
1.5,0.74,-7.53,-1.493,22.46,optimal,0.082843566237345
1.5,0.76,-7.72,-1.532,23.04,optimal,0.08631578448909707
1.5,0.78,-7.91,-1.571,23.62,optimal,0.08978800274085084
1.5,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.09326022099260575
1.5,0.82,-8.29,-1.649,24.779999999999998,optimal,0.09673243924435784
1.5,0.84,-8.48,-1.688,25.36,optimal,0.10020465749611106
1.5,0.86,-8.67,-1.727,25.94,optimal,0.10367687574786624
1.5,0.88,-8.86,-1.766,26.52,optimal,0.10714909399961889
1.5,0.9,-9.05,-1.805,27.1,optimal,0.11062131225137126
1.5,0.92,-9.24,-1.844,27.68,optimal,0.11409353050312673
1.5,0.94,-9.43,-1.883,28.259999999999998,optimal,0.11756574875487938
1.5,0.96,-9.62,-1.922,28.84,optimal,0.12103796700663258
1.5,0.98,-9.81,-1.961,29.419999999999998,optimal,0.12451018525838721
1.5,1.0,-10.0,-2.0,30.0,optimal,0.12798240351014012
2.0,0.0,-0.5,-0.05,1.0,infeasible,
2.0,0.02,-0.69,-0.089,1.58,infeasible,
2.0,0.04,-0.88,-0.128,2.16,infeasible,
2.0,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
2.0,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
2.0,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
2.0,0.12,-1.64,-0.284,4.48,infeasible,
2.0,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
2.0,0.16,-2.02,-0.362,5.64,infeasible,
2.0,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
2.0,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
2.0,0.22,-2.59,-0.479,7.38,infeasible,
2.0,0.24,-2.78,-0.518,7.96,infeasible,
2.0,0.26,-2.97,-0.557,8.54,infeasible,
2.0,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
2.0,0.3,-3.35,-0.635,9.7,infeasible,
2.0,0.32,-3.54,-0.674,10.28,infeasible,
2.0,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
2.0,0.36,-3.92,-0.752,11.44,infeasible,
2.0,0.38,-4.109999999999999,-0.791,12.02,infeasible,
2.0,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,infeasible,
2.0,0.42,-4.49,-0.869,13.18,optimal,0.003451010039926782
2.0,0.44,-4.68,-0.908,13.76,optimal,0.008891668015401857
2.0,0.46,-4.87,-0.9470000000000001,14.34,optimal,0.014332325990877989
2.0,0.48,-5.06,-0.986,14.92,optimal,0.01977298396635249
2.0,0.5,-5.25,-1.025,15.5,optimal,0.024483590236721895
2.0,0.52,-5.44,-1.064,16.08,optimal,0.027955808488475467
2.0,0.54,-5.630000000000001,-1.103,16.66,optimal,0.03142802674022818
2.0,0.56,-5.82,-1.1420000000000001,17.240000000000002,optimal,0.03490024499198289
2.0,0.58,-6.01,-1.181,17.82,optimal,0.03837246324373622
2.0,0.6,-6.2,-1.22,18.4,optimal,0.04184468149549018
2.0,0.62,-6.39,-1.2590000000000001,18.98,optimal,0.0453168997472429
2.0,0.64,-6.58,-1.298,19.56,optimal,0.0487891179989971
2.0,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.05226133625074945
2.0,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.05573355450250402
2.0,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.059205772754258354
2.0,0.72,-7.34,-1.454,21.88,optimal,0.06267799100601207
2.0,0.74,-7.53,-1.493,22.46,optimal,0.06615020925776639
2.0,0.76,-7.72,-1.532,23.04,optimal,0.069622427509518
2.0,0.78,-7.91,-1.571,23.62,optimal,0.07309464576127282
2.0,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.07656686401302616
2.0,0.82,-8.29,-1.649,24.779999999999998,optimal,0.0800390822647806
2.0,0.84,-8.48,-1.688,25.36,optimal,0.08351130051653345
2.0,0.86,-8.67,-1.727,25.94,optimal,0.08698351876828729
2.0,0.88,-8.86,-1.766,26.52,optimal,0.09045573702004037
2.0,0.9,-9.05,-1.805,27.1,optimal,0.0939279552717947
2.0,0.92,-9.24,-1.844,27.68,optimal,0.09740017352354668
2.0,0.94,-9.43,-1.883,28.259999999999998,optimal,0.10087239177530187
2.0,0.96,-9.62,-1.922,28.84,optimal,0.10434461002705485
2.0,0.98,-9.81,-1.961,29.419999999999998,optimal,0.10781682827880928
2.0,1.0,-10.0,-2.0,30.0,optimal,0.1112890465305625
2.5,0.0,-0.5,-0.05,1.0,infeasible,
2.5,0.02,-0.69,-0.089,1.58,infeasible,
2.5,0.04,-0.88,-0.128,2.16,infeasible,
2.5,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
2.5,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
2.5,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
2.5,0.12,-1.64,-0.284,4.48,infeasible,
2.5,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
2.5,0.16,-2.02,-0.362,5.64,infeasible,
2.5,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
2.5,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
2.5,0.22,-2.59,-0.479,7.38,infeasible,
2.5,0.24,-2.78,-0.518,7.96,infeasible,
2.5,0.26,-2.97,-0.557,8.54,infeasible,
2.5,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
2.5,0.3,-3.35,-0.635,9.7,infeasible,
2.5,0.32,-3.54,-0.674,10.28,infeasible,
2.5,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
2.5,0.36,-3.92,-0.752,11.44,infeasible,
2.5,0.38,-4.109999999999999,-0.791,12.02,infeasible,
2.5,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,infeasible,
2.5,0.42,-4.49,-0.869,13.18,infeasible,
2.5,0.44,-4.68,-0.908,13.76,infeasible,
2.5,0.46,-4.87,-0.9470000000000001,14.34,infeasible,
2.5,0.48,-5.06,-0.986,14.92,infeasible,
2.5,0.5,-5.25,-1.025,15.5,infeasible,
2.5,0.52,-5.44,-1.064,16.08,infeasible,
2.5,0.54,-5.630000000000001,-1.103,16.66,optimal,0.005221120145547128
2.5,0.56,-5.82,-1.1420000000000001,17.240000000000002,optimal,0.010661768592547348
2.5,0.58,-6.01,-1.181,17.82,optimal,0.0161024265680153
2.5,0.6,-6.2,-1.22,18.4,optimal,0.021543084543493903
2.5,0.62,-6.39,-1.2590000000000001,18.98,optimal,0.0269837425189662
2.5,0.64,-6.58,-1.298,19.56,optimal,0.03209576101941344
2.5,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.03556797927117267
2.5,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.039040197522923724
2.5,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.042512415774681976
2.5,0.72,-7.34,-1.454,21.88,optimal,0.045984634026432034
2.5,0.74,-7.53,-1.493,22.46,optimal,0.04945685227818601
2.5,0.76,-7.72,-1.532,23.04,optimal,0.052929070529942175
2.5,0.78,-7.91,-1.571,23.62,optimal,0.05640128878169604
2.5,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.05987350703344893
2.5,0.82,-8.29,-1.649,24.779999999999998,optimal,0.06334572528520392
2.5,0.84,-8.48,-1.688,25.36,optimal,0.06681794353695807
2.5,0.86,-8.67,-1.727,25.94,optimal,0.0702901617887093
2.5,0.88,-8.86,-1.766,26.52,optimal,0.07376238004046207
2.5,0.9,-9.05,-1.805,27.1,optimal,0.07723459829221616
2.5,0.92,-9.24,-1.844,27.68,optimal,0.08070681654397047
2.5,0.94,-9.43,-1.883,28.259999999999998,optimal,0.08417903479572354
2.5,0.96,-9.62,-1.922,28.84,optimal,0.08765125304747971
2.5,0.98,-9.81,-1.961,29.419999999999998,optimal,0.0911234712992327
2.5,1.0,-10.0,-2.0,30.0,optimal,0.09459568955098246
3.0,0.0,-0.5,-0.05,1.0,infeasible,
3.0,0.02,-0.69,-0.089,1.58,infeasible,
3.0,0.04,-0.88,-0.128,2.16,infeasible,
3.0,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
3.0,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
3.0,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
3.0,0.12,-1.64,-0.284,4.48,infeasible,
3.0,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
3.0,0.16,-2.02,-0.362,5.64,infeasible,
3.0,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
3.0,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
3.0,0.22,-2.59,-0.479,7.38,infeasible,
3.0,0.24,-2.78,-0.518,7.96,infeasible,
3.0,0.26,-2.97,-0.557,8.54,infeasible,
3.0,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
3.0,0.3,-3.35,-0.635,9.7,infeasible,
3.0,0.32,-3.54,-0.674,10.28,infeasible,
3.0,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
3.0,0.36,-3.92,-0.752,11.44,infeasible,
3.0,0.38,-4.109999999999999,-0.791,12.02,infeasible,
3.0,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,infeasible,
3.0,0.42,-4.49,-0.869,13.18,infeasible,
3.0,0.44,-4.68,-0.908,13.76,infeasible,
3.0,0.46,-4.87,-0.9470000000000001,14.34,infeasible,
3.0,0.48,-5.06,-0.986,14.92,infeasible,
3.0,0.5,-5.25,-1.025,15.5,infeasible,
3.0,0.52,-5.44,-1.064,16.08,infeasible,
3.0,0.54,-5.630000000000001,-1.103,16.66,infeasible,
3.0,0.56,-5.82,-1.1420000000000001,17.240000000000002,infeasible,
3.0,0.58,-6.01,-1.181,17.82,infeasible,
3.0,0.6,-6.2,-1.22,18.4,infeasible,
3.0,0.62,-6.39,-1.2590000000000001,18.98,infeasible,
3.0,0.64,-6.58,-1.298,19.56,optimal,0.0015505560484814615
3.0,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.006991211194203023
3.0,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.012431869169684846
3.0,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.01787252714516354
3.0,0.72,-7.34,-1.454,21.88,optimal,0.023313185120635693
3.0,0.74,-7.53,-1.493,22.46,optimal,0.02875384309611104
3.0,0.76,-7.72,-1.532,23.04,optimal,0.034194501071585136
3.0,0.78,-7.91,-1.571,23.62,optimal,0.03963515904706061
3.0,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.04318015005385347
3.0,0.82,-8.29,-1.649,24.779999999999998,optimal,0.04665236830561374
3.0,0.84,-8.48,-1.688,25.36,optimal,0.05012458655736426
3.0,0.86,-8.67,-1.727,25.94,optimal,0.05359680480911637
3.0,0.88,-8.86,-1.766,26.52,optimal,0.05706902306087214
3.0,0.9,-9.05,-1.805,27.1,optimal,0.06054124131262838
3.0,0.92,-9.24,-1.844,27.68,optimal,0.06401345956438023
3.0,0.94,-9.43,-1.883,28.259999999999998,optimal,0.06748567781613626
3.0,0.96,-9.62,-1.922,28.84,optimal,0.07095789606788679
3.0,0.98,-9.81,-1.961,29.419999999999998,optimal,0.07443011431964086
3.0,1.0,-10.0,-2.0,30.0,optimal,0.07790233257139419
3.5,0.0,-0.5,-0.05,1.0,infeasible,
3.5,0.02,-0.69,-0.089,1.58,infeasible,
3.5,0.04,-0.88,-0.128,2.16,infeasible,
3.5,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
3.5,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
3.5,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
3.5,0.12,-1.64,-0.284,4.48,infeasible,
3.5,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
3.5,0.16,-2.02,-0.362,5.64,infeasible,
3.5,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
3.5,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
3.5,0.22,-2.59,-0.479,7.38,infeasible,
3.5,0.24,-2.78,-0.518,7.96,infeasible,
3.5,0.26,-2.97,-0.557,8.54,infeasible,
3.5,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
3.5,0.3,-3.35,-0.635,9.7,infeasible,
3.5,0.32,-3.54,-0.674,10.28,infeasible,
3.5,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
3.5,0.36,-3.92,-0.752,11.44,infeasible,
3.5,0.38,-4.109999999999999,-0.791,12.02,infeasible,
3.5,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,infeasible,
3.5,0.42,-4.49,-0.869,13.18,infeasible,
3.5,0.44,-4.68,-0.908,13.76,infeasible,
3.5,0.46,-4.87,-0.9470000000000001,14.34,infeasible,
3.5,0.48,-5.06,-0.986,14.92,infeasible,
3.5,0.5,-5.25,-1.025,15.5,infeasible,
3.5,0.52,-5.44,-1.064,16.08,infeasible,
3.5,0.54,-5.630000000000001,-1.103,16.66,infeasible,
3.5,0.56,-5.82,-1.1420000000000001,17.240000000000002,infeasible,
3.5,0.58,-6.01,-1.181,17.82,infeasible,
3.5,0.6,-6.2,-1.22,18.4,infeasible,
3.5,0.62,-6.39,-1.2590000000000001,18.98,infeasible,
3.5,0.64,-6.58,-1.298,19.56,infeasible,
3.5,0.66,-6.7700000000000005,-1.337,20.14,infeasible,
3.5,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,infeasible,
3.5,0.7,-7.1499999999999995,-1.415,21.299999999999997,infeasible,
3.5,0.72,-7.34,-1.454,21.88,infeasible,
3.5,0.74,-7.53,-1.493,22.46,infeasible,
3.5,0.76,-7.72,-1.532,23.04,optimal,0.003320659856038742
3.5,0.78,-7.91,-1.571,23.62,optimal,0.0087613117713509
3.5,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.014201969746826422
3.5,0.82,-8.29,-1.649,24.779999999999998,optimal,0.01964262772229775
3.5,0.84,-8.48,-1.688,25.36,optimal,0.025083285697774082
3.5,0.86,-8.67,-1.727,25.94,optimal,0.0305239436732471
3.5,0.88,-8.86,-1.766,26.52,optimal,0.03596460164872314
3.5,0.9,-9.05,-1.805,27.1,optimal,0.04140525962419901
3.5,0.92,-9.24,-1.844,27.68,optimal,0.04684591759967046
3.5,0.94,-9.43,-1.883,28.259999999999998,optimal,0.05079232083654404
3.5,0.96,-9.62,-1.922,28.84,optimal,0.054264539088300943
3.5,0.98,-9.81,-1.961,29.419999999999998,optimal,0.05773675734005551
3.5,1.0,-10.0,-2.0,30.0,optimal,0.06120897559181053
4.0,0.0,-0.5,-0.05,1.0,infeasible,
4.0,0.02,-0.69,-0.089,1.58,infeasible,
4.0,0.04,-0.88,-0.128,2.16,infeasible,
4.0,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
4.0,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
4.0,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
4.0,0.12,-1.64,-0.284,4.48,infeasible,
4.0,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
4.0,0.16,-2.02,-0.362,5.64,infeasible,
4.0,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
4.0,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
4.0,0.22,-2.59,-0.479,7.38,infeasible,
4.0,0.24,-2.78,-0.518,7.96,infeasible,
4.0,0.26,-2.97,-0.557,8.54,infeasible,
4.0,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
4.0,0.3,-3.35,-0.635,9.7,infeasible,
4.0,0.32,-3.54,-0.674,10.28,infeasible,
4.0,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
4.0,0.36,-3.92,-0.752,11.44,infeasible,
4.0,0.38,-4.109999999999999,-0.791,12.02,infeasible,
4.0,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,infeasible,
4.0,0.42,-4.49,-0.869,13.18,infeasible,
4.0,0.44,-4.68,-0.908,13.76,infeasible,
4.0,0.46,-4.87,-0.9470000000000001,14.34,infeasible,
4.0,0.48,-5.06,-0.986,14.92,infeasible,
4.0,0.5,-5.25,-1.025,15.5,infeasible,
4.0,0.52,-5.44,-1.064,16.08,infeasible,
4.0,0.54,-5.630000000000001,-1.103,16.66,infeasible,
4.0,0.56,-5.82,-1.1420000000000001,17.240000000000002,infeasible,
4.0,0.58,-6.01,-1.181,17.82,infeasible,
4.0,0.6,-6.2,-1.22,18.4,infeasible,
4.0,0.62,-6.39,-1.2590000000000001,18.98,infeasible,
4.0,0.64,-6.58,-1.298,19.56,infeasible,
4.0,0.66,-6.7700000000000005,-1.337,20.14,infeasible,
4.0,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,infeasible,
4.0,0.7,-7.1499999999999995,-1.415,21.299999999999997,infeasible,
4.0,0.72,-7.34,-1.454,21.88,infeasible,
4.0,0.74,-7.53,-1.493,22.46,infeasible,
4.0,0.76,-7.72,-1.532,23.04,infeasible,
4.0,0.78,-7.91,-1.571,23.62,infeasible,
4.0,0.8,-8.100000000000001,-1.61,24.200000000000003,infeasible,
4.0,0.82,-8.29,-1.649,24.779999999999998,infeasible,
4.0,0.84,-8.48,-1.688,25.36,infeasible,
4.0,0.86,-8.67,-1.727,25.94,infeasible,
4.0,0.88,-8.86,-1.766,26.52,optimal,0.005090754373015953
4.0,0.9,-9.05,-1.805,27.1,optimal,0.010531412348484495
4.0,0.92,-9.24,-1.844,27.68,optimal,0.015972070323960398
4.0,0.94,-9.43,-1.883,28.259999999999998,optimal,0.021412728299441134
4.0,0.96,-9.62,-1.922,28.84,optimal,0.026853386274910067
4.0,0.98,-9.81,-1.961,29.419999999999998,optimal,0.032294044250394026
4.0,1.0,-10.0,-2.0,30.0,optimal,0.03773470222586081
